,time,band,flux,fluxerr,zp,zpsys,field,ccd,comment
0,58666.22439809982,ztfg,-1.1394093352179286,10.331830687343732,26.27286821226,ab,721,10,
1,58666.22579859989,ztfg,11.561865189311712,9.429231562134447,26.2536157639127,ab,721,10,
2,58666.249826400075,ztfg,8.459984687528197,9.103908418964776,26.2554947115271,ab,721,10,
3,58666.26221060008,ztfr,-25.524349455856555,10.468457130010863,26.1371317080415,ab,721,10,
4,58666.263148100115,ztfr,-6.7631862328201,11.487074261778115,26.1279485826118,ab,721,10,
5,58667.32762729982,ztfg,18.26652207783545,15.374731765285736,26.2044438798656,ab,721,10,
6,58667.35392360017,ztfg,-6.300795861024031,13.4615717609777,26.1601644375413,ab,721,10,
7,58668.179583299905,ztfr,18.984995572681377,12.13538781373862,26.1075591602181,ab,721,10,
8,58668.20157410018,ztfg,5.9368584861124996,9.527348600180211,26.2748551510712,ab,721,10,
9,58669.18002310023,ztfr,-31.02107473698572,26.396981122639733,26.0913106654439,ab,721,10,
10,58669.20865740022,ztfg,14.013579940580119,10.943145687502591,26.2452804635369,ab,721,10,
11,58669.307129600085,ztfi,-21.29639174633071,14.629149165882,25.4604726813639,ab,721,10,
12,58669.32439809991,ztfr,-13.859277405922336,13.266567329404436,26.0943214244915,ab,721,10,
13,58670.28560189996,ztfg,0.6606547315914059,10.428901162834418,26.2130213897545,ab,721,10,
14,58670.30002309987,ztfr,-12.473140306046073,11.978439004509132,26.083425575193,ab,721,10,
15,58671.197164400015,ztfr,8.177162901212037,12.993481943845849,26.1017388789701,ab,721,10,
16,58671.287164399866,ztfg,-11.01133524123021,14.401597359312476,26.2234516726513,ab,721,10,
17,58672.17685189983,ztfg,-10.897650039132921,17.114243060344783,26.2208192499535,ab,721,10,
18,58672.200694399886,ztfr,25.502770770472406,14.79695883268262,26.092856174682,ab,721,10,
19,58672.21532410011,ztfr,-1.7525793049576237,13.747699095330391,26.0930000555614,ab,721,10,
20,58672.3035995001,ztfg,-10.584736099758056,12.358776465965644,26.187363703826,ab,721,10,
21,58674.17844909988,ztfi,11.90360325623469,13.098948731092188,25.4605161166577,ab,721,10,
22,58675.23782410007,ztfr,13.354269807603412,19.628663542033298,26.0896518377719,ab,721,10,
23,58675.304456000216,ztfg,1.7547637858486511,23.88558367728667,26.1827646566791,ab,721,10,
24,58676.22015050007,ztfr,-23.139393623680306,23.93212633943142,26.1848782279604,ab,1719,35,
25,58676.220601900015,ztfr,-30.562239157338343,24.343279027263726,26.1833727035386,ab,1719,35,
26,58676.22106479993,ztfr,19.582170777041004,26.3207017653154,26.1581686715935,ab,1720,46,
27,58676.221516199876,ztfr,29.647289280010725,27.477685112007844,26.1848753666134,ab,1720,46,
28,58677.225879599806,ztfr,27.47540881338644,33.493337912676445,26.2598210884699,ab,1720,46,
29,58677.226331000216,ztfr,30.62945870759439,31.678941064630823,26.2393516507194,ab,1720,46,
30,58677.226793999784,ztfr,4.132491104137153,24.39462529420484,26.1956603899871,ab,1719,35,
31,58677.227245400194,ztfr,-12.804624563027145,23.153981320036785,26.1889892072874,ab,1719,35,
32,58678.17383099999,ztfi,-10.077673046140376,13.569297030849064,25.4388183839446,ab,721,10,
33,58678.226967600174,ztfr,3.02042768201956,19.863238894971943,26.0825501755593,ab,721,10,
34,58678.25598380016,ztfg,24.448013528243248,29.43942635080724,26.2397483688296,ab,721,10,
35,58680.182164399885,ztfg,55.32172750064052,53.00565494356047,26.2682305235106,ab,721,10,
36,58680.194004599936,ztfg,54.7767482896206,40.51509462846857,26.2664671548342,ab,721,10,
37,58680.21290510008,ztfg,85.7310821566782,33.46621523976417,26.25894151063,ab,721,10,
38,58680.24865739979,ztfr,-29.13626053623803,30.17298373918292,26.1264706576224,ab,721,10,
39,58680.263182899915,ztfr,-15.660010956672611,33.41757097683947,26.1773622086882,ab,1720,46,
40,58680.26363429986,ztfr,-54.91252387158807,33.191840419185525,26.1800033453669,ab,1720,46,
41,58681.173194400035,ztfg,-11.832802036790147,37.11823243542211,26.2613546365736,ab,721,10,
42,58681.17413190007,ztfg,35.89685242385577,38.62187178639561,26.2544727964496,ab,721,10,
43,58681.20777780004,ztfg,40.88399771568179,40.241092663902336,26.2490639539889,ab,721,10,
44,58681.213148099836,ztfg,8.076062056083302,41.797447207248204,26.2602657518107,ab,721,10,
45,58681.2447453998,ztfr,-14.326672544626936,26.149367029536094,26.1209732985144,ab,721,10,
46,58681.24675930012,ztfr,-7.868731628093271,27.363358174739187,26.1102534274323,ab,721,10,
47,58682.1771296002,ztfg,16.849082980287548,17.92531418404598,26.2503045949566,ab,721,10,
48,58682.20516199991,ztfg,3.857470982728334,28.293997215574123,26.2563294735654,ab,721,10,
49,58682.214259299915,ztfg,4.222518075910297,23.642280014714782,26.2511696821438,ab,721,10,
50,58682.240821800195,ztfr,-10.565090267882844,19.233131364543198,26.1067034007955,ab,721,10,
51,58683.18265049998,ztfg,19.242196560630966,13.918179679365313,26.2622856403877,ab,721,10,
