,time,band,flux,fluxerr,zp,zpsys,field,ccd,comment
0,59144.23410880007,ztfr,2.183323585994765,12.306212234208765,25.9727360126004,ab,297,62,
1,59144.334965299815,ztfg,8.06992872100323,11.742641278387286,26.041839495796,ab,297,62,
2,59149.33655089978,ztfr,66.66022647598025,94.31563265171512,26.0538842164824,ab,297,62,
3,59149.4115394,ztfg,-111.86148481491692,101.14764999526663,25.9498145035467,ab,297,62,
4,59150.27458330011,ztfr,-93.1065653727869,69.99912274229534,26.1401565040697,ab,297,62,
5,59152.21333329985,ztfr,-48.37908205071178,71.7939483693516,26.1276446068023,ab,297,62,
6,59152.26509260014,ztfg,-44.489136869087645,86.7162781445927,26.2326765851187,ab,297,62,
7,59153.23114580009,ztfg,-252.6895635211855,92.09494450352724,26.2180144871334,ab,297,62,
8,59153.3297569002,ztfr,198.76019954088335,90.43820966632792,26.1783049017756,ab,297,62,
9,59155.18980319984,ztfg,21.621785731360912,71.71518278691217,26.2064527850354,ab,297,62,
10,59155.26633099979,ztfr,55.47680146581348,45.51873409849416,26.1429004497951,ab,297,62,
11,59158.1964004999,ztfg,-12.398579029260977,37.77088359860103,26.1602726473422,ab,297,62,
12,59158.21156249987,ztfr,-13.152823780988118,44.75727273311096,26.1145672620877,ab,297,62,
13,59164.27107639983,ztfg,-101.56152848203996,55.309371299701446,26.1931172403277,ab,297,62,
14,59164.2734375,ztfr,-54.39369847393847,68.59811624808387,26.1580868896639,ab,297,62,
15,59165.190555599984,ztfg,-32.09139434547154,18.31315142993258,26.1868766567777,ab,297,62,
16,59165.233680599835,ztfr,-3.4661626915441293,17.871774192827647,26.1341878424965,ab,297,62,
17,59167.24098380003,ztfr,112.76578986634556,37.04630996916903,26.1442181966484,ab,297,62,
18,59168.210208300035,ztfg,113.70406196241598,21.743935432065907,26.2107030514467,ab,297,62,
19,59168.275023099966,ztfr,114.56951816092761,33.61802071060114,26.1338846804939,ab,297,62,
20,59170.248425900005,ztfg,332.20164276107624,22.882005882823847,26.1972456815224,ab,297,62,
21,59170.25265049981,ztfr,257.6876811276538,42.15059069569523,26.1367488024451,ab,297,62,
22,59172.149189800024,ztfr,422.3781252875724,24.804921708729676,26.1338537008138,ab,297,62,
23,59172.24912039982,ztfg,505.042687343767,24.109917174241104,26.2029890181071,ab,297,62,
24,59174.25203699991,ztfg,292.1481853359338,45.76668415241561,25.375648158735,ab,297,62,
25,59174.275590300094,ztfr,436.9318487512916,61.563558051200076,26.1085790951681,ab,297,62,
26,59176.251597200055,ztfg,593.1379594849741,40.555757840235806,26.0981945861347,ab,297,62,
27,59176.27386569977,ztfr,684.3410296251441,53.13598761371134,26.1214536107597,ab,297,62,
28,59177.1061689998,ztfi,283.1918882807764,48.061823833112086,25.4219964124587,ab,297,62,
29,59177.106631900184,ztfi,236.10358936427173,47.9172321555665,25.4286029313248,ab,297,62,
30,59177.10710649984,ztfi,256.003839199983,43.0841785830202,25.4307342408495,ab,297,62,
31,59177.10918979999,ztfi,254.17068333974743,54.49555221417086,25.430558489087,ab,297,62,
32,59177.10965280002,ztfi,271.36856772245983,56.365101828634764,25.4277109202623,ab,297,62,
33,59178.17045139987,ztfg,758.489692364752,39.76279179777921,26.1781698471743,ab,297,62,
34,59178.211620400194,ztfr,756.2482094694126,42.48514720956905,26.1434907004068,ab,297,62,
35,59180.1941550998,ztfg,984.9358501256363,212.15419793626137,26.1824269747063,ab,297,62,
36,59180.24921299983,ztfr,438.3028717716474,456.74638562740085,26.1163171443158,ab,297,62,
37,59182.119907400105,ztfr,661.3138329618412,63.905184304459844,26.1258008459891,ab,297,62,
38,59182.21146989986,ztfg,754.5375586192345,62.22671526685813,26.194055423301,ab,297,62,
39,59184.2027431,ztfg,720.0351129056883,61.85704301288178,26.1993009349004,ab,297,62,
40,59184.258784700185,ztfr,785.9941056453476,67.7674386450512,26.111998372178,ab,297,62,
41,59186.18771990016,ztfg,860.071546059118,125.13429370635576,26.2273509227657,ab,297,62,
42,59187.251863399986,ztfi,92.2571929360532,51.29624375876596,25.4861590555657,ab,297,62,
43,59189.14756939979,ztfg,413.30866261379003,54.217209731858276,26.2192331903335,ab,297,62,
44,59189.210763900075,ztfr,744.7775270255745,57.64454559457432,26.4019249813995,ab,297,62,
45,59190.214780100156,ztfi,-29.0982239945834,51.269329221550514,23.5412967292389,ab,297,62,
46,59193.247152800206,ztfr,427.27822331442553,30.388331877314002,26.0852208045243,ab,297,62,
47,59195.16863430012,ztfg,177.4512158888084,18.67067808794129,26.203347509672,ab,297,62,
48,59195.19023150019,ztfr,395.54668883659707,25.089642283635392,26.1187615094861,ab,297,62,
49,59198.12655089982,ztfr,332.1881979198244,32.39961665311006,26.1325304137944,ab,297,62,
50,59198.14737269981,ztfg,109.23471910986132,29.716454294825944,25.9299738756319,ab,297,62,
51,59198.169652800076,ztfg,58.01696013546736,50.153303459146045,26.0941475578896,ab,297,62,
52,59200.10556709999,ztfr,274.7420699337077,22.866006088293773,25.91693254654,ab,297,62,
53,59200.16799770016,ztfg,24.599898314782564,19.739889847617675,25.7805242747621,ab,297,62,
54,59202.16787040001,ztfg,130.78219607720786,52.80600399812136,26.171560138856,ab,297,62,
55,59203.16302079987,ztfi,227.88766073970402,39.37163911720814,25.4661059282722,ab,297,62,
56,59204.168310199864,ztfr,304.1921964311377,92.09572552335223,26.1351994314229,ab,297,62,
57,59204.23295139987,ztfg,159.37927850496106,53.886049567383075,26.1040602910058,ab,297,62,
