,time,band,flux,fluxerr,zp,zpsys,field,ccd,comment
0,59095.47746529989,ztfr,-24.314303125086067,44.000487112109695,26.2660687218811,ab,705,44,
1,59096.4114351999,ztfr,-5.039913093929934,67.2801841934211,26.2371429402462,ab,705,44,
2,59096.51458329987,ztfg,47.43871796055385,58.13480609913675,26.3285155815225,ab,705,44,
3,59099.431481500156,ztfg,69.89507377519462,78.51848474330558,25.8748547857284,ab,705,44,
4,59108.493159700185,ztfr,44.65660459887497,19.121320314054262,26.061219702619,ab,705,44,
5,59108.51381940022,ztfg,6.301738315368863,15.827532005117511,25.9359580118114,ab,705,44,
6,59114.49040509993,ztfr,-29.456134318023057,19.94606027986818,26.2732086285674,ab,705,44,
7,59114.49945600005,ztfr,13.730431789382372,18.391134389173548,26.2743762010981,ab,705,44,
8,59114.51251159981,ztfg,11.773161858998519,16.30807864540158,26.3044718788676,ab,705,44,
9,59114.52765050018,ztfg,-32.3673804523473,38.4919532049346,26.3001373646679,ab,705,44,
10,59117.411909699906,ztfr,95.83090483110084,20.630452871493954,26.2988718313141,ab,705,44,
11,59117.50570600014,ztfg,50.46349658367811,15.767602337302849,26.3574490377102,ab,705,44,
12,59118.49092590017,ztfg,89.02156774818779,15.304372068066886,26.372005615858,ab,705,44,
13,59118.513472199906,ztfr,106.4420443902041,17.372153068250675,26.3653596704115,ab,705,44,
14,59118.5244907001,ztfr,69.49290571701886,21.93114668406235,26.3702550969669,ab,705,44,
15,59119.46412040014,ztfr,130.15127645488323,17.411439057377635,26.3113475319776,ab,705,44,
16,59119.49009260023,ztfg,111.78009130780033,13.589306757930705,26.3480358994344,ab,705,44,
17,59120.44673610013,ztfg,140.78984722623852,19.60956901193748,26.3333354047892,ab,705,44,
18,59120.5089004999,ztfr,198.49374908996407,25.5185529287467,26.3522315204801,ab,705,44,
19,59120.52924769977,ztfr,152.32234087278792,28.98579971870491,26.3555414728019,ab,705,44,
20,59121.402928200085,ztfg,173.66682418668904,39.633845139057776,26.2533413564938,ab,705,44,
21,59121.477361099795,ztfr,170.91960128851858,23.237494520481707,26.3218936771011,ab,705,44,
22,59121.48759259982,ztfg,175.23611122552373,15.570510496742545,26.329403930454,ab,705,44,
23,59122.41356479982,ztfg,109.54595534423456,55.925223628172404,26.2510692030219,ab,705,44,
24,59122.48407409992,ztfr,249.57707315972826,40.34009544769988,26.3200775640255,ab,705,44,
25,59123.42966439994,ztfg,303.94105660496854,71.51462147149248,26.2795533867711,ab,705,44,
26,59123.508830999956,ztfr,259.63105432341337,43.06028744607471,26.3208570357546,ab,705,44,
27,59124.36120369984,ztfr,241.39171497023898,57.87377317950175,26.2568770882438,ab,705,44,
28,59125.455902799964,ztfg,353.68347872080915,45.53016962823715,26.3603867916212,ab,705,44,
29,59125.48513890011,ztfr,331.7950554306385,34.09250429896217,26.3647057727933,ab,705,44,
30,59126.38542820001,ztfr,377.55045359921337,42.92323843699458,26.2839767277535,ab,705,44,
31,59127.43062500004,ztfg,-24.81793905102842,88.06959248820925,23.1392923096657,ab,705,44,
32,59127.4907176001,ztfr,59.93394176949046,100.30130107138307,24.6700271417107,ab,705,44,
33,59129.42011569999,ztfg,433.365809134953,54.10678380353881,26.3298787010633,ab,705,44,
34,59129.49391200021,ztfr,390.0423673492042,38.21417124026621,26.3687387423511,ab,705,44,
35,59135.40628470015,ztfr,415.0165196851113,20.82770827197471,26.3337661441403,ab,705,44,
36,59135.45547450008,ztfg,357.1141819822269,17.31130265738184,26.3679079287964,ab,705,44,
37,59137.39329859987,ztfr,375.0649978017966,22.109593804766632,26.2851558588522,ab,705,44,
38,59137.444236100186,ztfg,311.63392130445135,16.292843170376354,26.284183126107,ab,705,44,
39,59139.44931709999,ztfg,253.80756802526565,14.686230558764183,26.0335618196318,ab,705,44,
40,59140.4323148001,ztfi,145.02176955638691,20.893724201648467,25.7842708833918,ab,705,44,
41,59141.36927080015,ztfr,351.5197844077344,23.308288686875436,26.1258822894958,ab,705,44,
42,59141.428715299815,ztfg,266.0899836897089,15.467376305792369,26.3580216080046,ab,705,44,
43,59143.425173600204,ztfg,241.92046245008564,13.515126839731648,26.377224963515,ab,705,44,
44,59143.44515050016,ztfr,326.949998310689,17.847078179533703,26.3635267543703,ab,705,44,
