,z,t0,x0,x1,c,mwebv,ra,dec,mwebv_sfd98,idx_orig
10003,0.07338313473547575,58569.41163532776,0.0004014746338732904,0.15051017882791173,0.1843676161105044,0.026510293610906423,111.64238725943038,28.90028858405377,0.044758946978454804,19236
10004,0.1442365612678901,58382.660262621466,0.00015352084383998848,-0.9754180075501461,0.09025922755243959,0.04182584346928608,126.41358784750138,40.85075761571343,0.038203154679616665,19237
10005,0.07744668868102161,58208.66579760255,0.0009292445244077105,1.0247786017837517,-0.10730295205094896,0.032761855807077425,126.58633731503829,30.013890215923567,0.038200085731963554,19238
10006,0.07489579702530955,58406.60300871874,0.0008748022058756283,0.14131085604609672,-0.08876533427387716,0.45810459249087127,46.386992183429385,48.87611857009556,0.43402417450606434,19239
10007,0.08133886560124892,58410.69775454021,0.0005095905986979822,0.37494338604737326,0.08462284821950464,0.006204945486359487,157.61875196918518,56.99523348260511,0.0033137419348604675,19242
10008,0.0708655242682536,58690.72774844856,0.0009726207172507257,0.5671952788596307,-0.11872665480202763,0.00903778525690179,18.643298206327703,-17.328276983922496,0.01806936613042704,19244
10009,0.11769003210607869,58739.87955787032,0.0002339180275296832,-0.28873072267427446,0.020710912847910788,0.09503475760308651,317.7212125089912,12.27206037878872,0.0896947408904629,19246
10010,0.10337168995655502,58772.50679692346,0.00037328088754001417,0.3249834885708091,-0.009851794038319662,0.028684138038645033,68.56585351387844,-17.526582797187846,0.036242111222160006,19248
10011,0.13616075898764507,58445.0270634415,0.0002153120477762112,0.9296461617754502,0.015002607556019449,0.10857569591654728,292.06780570902026,40.08698328153622,0.11691460204442408,19249
10012,0.12436449189574955,58526.25448595737,0.00017909530022034424,0.7167256865751925,0.09589803430802965,0.016343315834839382,166.68236785120862,70.27817642888222,0.017975698678269536,19251
10013,0.14717772460781828,58459.354263584675,0.00014035696513425313,-0.6696918226994449,-0.038755179603744666,0.036117632338103146,134.9682647533844,4.907995781385446,0.03859885068879104,19254
10014,0.1004478366685931,59068.79809967069,0.0003108038480261864,0.4677200639750698,0.03216249539235136,0.10226073052040575,80.62083426539742,1.2188551742114953,0.10752935635641586,19256
10015,0.08938335606978451,58649.674976622475,0.00047667594836457554,0.02774950404910871,-0.03602675718103814,0.649089797790157,323.10705589413305,65.12942321170426,0.6525426942033375,19257
10016,0.09905169648833138,59184.13743421173,0.00041165405812287133,-0.47831693628283745,-0.044617200476096304,0.016454829451827465,151.7049113239429,40.53171967374095,0.012743937800899826,19258
10017,0.11120472845781001,58315.262003347205,0.00029721739090587224,1.2246866777628895,0.0661347315730632,0.462281098544897,65.97521033695561,40.93244766080598,0.48386221122571327,19259
10018,0.11338081579162643,59066.36906607794,0.000344972173168692,1.1791979491515385,-0.07714890203272246,0.14859335226441361,9.705338466615526,10.326424677898656,0.1424487421590576,19262
10019,0.10069688276095011,58580.35628778053,0.0005451877341405608,0.4926975460336579,-0.14517468386475016,0.06251984073022337,312.8404356801557,17.650757944993057,0.07894484970723703,19263
10020,0.14783008033913547,58635.75186085012,0.00012553299956990512,-0.8093093740538257,-0.012567129905847577,0.3565558158687834,310.26949074484844,27.252845187132014,0.3502361354981924,19265
10021,0.1456658120132569,59127.63017050489,0.0001939812294592966,1.7172322507094429,0.016186305587894283,0.038137892591910916,345.1083029544509,-20.142181307421723,0.02698046460885439,19267
10022,0.1485348798303583,58652.46601790443,0.00010309451284197157,2.0575992900353377,0.21993174452718856,0.022808339476382614,336.22420344365634,-21.487638658202155,0.023886370885939916,19268
10023,0.1481907836240089,58726.424596616074,0.00017307064304266593,1.214660944284797,-0.015222447151692776,0.04835831671612711,67.106828623801,-17.907995348352227,0.03807233783148844,19273
10024,0.1284199959842199,58471.59363974106,0.00014365223000586705,-0.00820975112995143,0.1535487270827188,0.1986148591096188,51.471237844621065,8.846872128723096,0.20420092989099964,19274
10025,0.06899938907394407,59029.24740985796,0.0007462893519407989,-1.4055019847135943,0.026970183635010848,0.2606307228867779,325.9015028770126,80.15148571657174,0.24559146334774118,19276
10026,0.13435561741715024,59149.502327151306,0.00013708427292929084,-0.5217969097310015,0.12819849027185945,0.032118504495609004,130.562641200925,41.472254604337536,0.028353043078626704,19277
10027,0.1454194539971872,58362.929609397,0.00020191997597102687,-0.5384077619167936,-0.08154332507681883,0.03655637017054453,268.4291925544194,41.859085557492364,0.02738068320047884,19279
10028,0.12426851001906772,58843.86359250646,0.00024757348290669956,-0.3476412163112039,-0.02603268672154363,0.24411604450670946,36.90223205287462,51.359578788881905,0.23497007626956265,19283
10029,0.14739688255735292,58971.02354728486,0.00018539533534857086,0.2548297144747856,-0.046895605955054306,0.04133696371715107,267.90763581275286,30.5473610559627,0.03956237417207343,19285
10030,0.05360587461725219,58883.57646825925,0.001708205777055403,0.46503739202765465,-0.059604391208460165,0.015386879325176645,159.30215924207894,64.38080647711195,0.007642849090139813,19286
10031,0.09924964100746425,59161.246282147804,0.0005988789719790181,2.5739184507135633,-0.04381457422744068,0.11858220763675058,259.8149066694486,13.993015900264485,0.13030154570184183,19290
10032,0.04331303983101085,58802.41143561218,0.0016400244419708368,-2.7046014210806253,0.0022376765849846172,0.003438508181023897,197.02860234887515,23.51967015889334,0.011487233976435595,19291
10033,0.11141152390151314,58241.76088896808,0.00017797989449203262,-0.6793994245199055,0.15736228972041993,0.0029167470689100902,192.55946645423182,26.768491189429216,0.011688196137957059,19292
10034,0.1234839189173319,58964.07862486948,0.00012290794685350576,-0.30609225802953743,0.18026757630347445,0.013609810878992493,157.33209124085369,43.231394457946614,0.009414645728893292,19294
10035,0.1370031392949486,58851.20214167457,0.00021857367031891947,1.2812351941334055,-0.041988443951724,0.04431039180864907,114.8732878089328,18.935077852315903,0.03714098059996755,19296
10036,0.0877395265275352,58206.763152868276,0.00033269834222844435,-1.8385008172644588,0.06140058695457821,0.036362754921059934,166.1286137476607,-8.090610029428433,0.03331544012872396,19298
10037,0.13934963963487135,58257.646949424576,0.000144918642710128,-0.9653336266158654,0.060900553161226646,0.013221373966436068,223.16946420401408,39.48825777121191,0.010752212947782535,19301
10038,0.07528129916490034,58409.96510702393,0.000689236698299783,1.7405756289468999,0.0031460019670844948,0.041850757892458075,356.7038228524697,14.64392920301954,0.026662672042534016,19302
