,time,band,flux,fluxerr,zp,zpsys,field,ccd,comment
0,58759.259398099966,ztfg,17.678997807227066,28.33171492747699,25.9981071690789,ab,764,17,
1,58759.27685189992,ztfr,36.81771968508699,39.527689348880536,26.0596785801935,ab,764,17,
2,58760.13515050011,ztfg,-11.26535970204673,16.80666846680618,26.1411290936837,ab,764,17,
3,58760.13980320003,ztfg,-14.785577670972119,18.61714566843447,26.1322077530077,ab,764,17,
4,58760.25747689977,ztfr,11.601311627391302,28.67072767650838,26.0910218000498,ab,764,17,
5,58761.12283559982,ztfr,-6.271917811130394,20.064165043296764,26.1334777397745,ab,764,17,
6,58761.142488399986,ztfr,1.4391199248418023,19.775594167983456,26.1377488632618,ab,764,17,
7,58761.259953700006,ztfg,-16.306410361951613,21.192406005551888,25.9728756748701,ab,764,17,
8,58761.27668979997,ztfg,-2.7326106178241956,26.587428776399275,25.9391158596019,ab,764,17,
9,58762.123645800166,ztfr,0.06058855939246154,21.56606539193538,26.1418523051634,ab,764,17,
10,58762.133761600126,ztfr,-20.26974999412779,21.98407941404858,26.142695721348,ab,764,17,
11,58762.257939800154,ztfg,-28.124444302534016,34.670391436520745,26.0073218732563,ab,764,17,
12,58763.11844909983,ztfi,22.977512375962274,18.54420916281897,25.5579458036337,ab,764,17,
13,58763.13372689998,ztfg,-0.7320813961018426,21.386074542068968,26.122752701445,ab,764,17,
14,58763.20689810021,ztfg,27.86489086823648,33.34140522565083,26.0648847605842,ab,764,17,
15,58763.25841439981,ztfr,-13.079840785764642,51.779475200281965,26.0728191218975,ab,764,17,
16,58764.120243099984,ztfr,-1.3627383561120279,19.945005896346967,26.1370104334312,ab,764,17,
17,58764.12114580022,ztfr,-0.3862629484133016,20.896761902852305,26.1376224968504,ab,764,17,
18,58764.20373839978,ztfg,-19.956214807136806,28.19428360289574,26.0328276707009,ab,764,17,
19,58764.24917820003,ztfg,-1.137697233340834,35.02556407624587,25.9683878563326,ab,764,17,
20,58764.25008099992,ztfg,41.59989355458693,35.51351346519341,25.9734091122547,ab,764,17,
21,58764.25983799994,ztfg,-28.678793439293738,36.91737262791932,25.9555019737264,ab,764,17,
22,58765.10392360017,ztfg,11.124657187991131,24.371972896129485,26.1246517270335,ab,764,17,
23,58765.12315970007,ztfr,-9.390710402598605,24.0344081000132,26.1295085886968,ab,764,17,
24,58765.19127310021,ztfr,43.2028077346699,27.1436002206225,26.1115936364903,ab,764,17,
25,58765.24335649982,ztfg,-30.031220517549222,44.69368118406224,26.0030403275695,ab,764,17,
26,58765.2552546002,ztfg,-48.123099973554375,47.04901248884509,25.9788012919833,ab,764,17,
27,58766.19864579989,ztfg,68.15868449705488,49.150581929445046,26.0762466711562,ab,764,17,
28,58766.244687499944,ztfg,34.86835988476978,60.9301408810907,25.9995054665652,ab,764,17,
29,58766.25295139989,ztfg,-92.99406689304523,67.54800583176,25.9814563413467,ab,764,17,
30,58767.101678200066,ztfi,-48.912704496120284,38.98251346235958,25.5345996046977,ab,764,17,
31,58767.11942130001,ztfr,-22.320731642517494,54.79980072308157,26.1143724588291,ab,764,17,
32,58767.12033559987,ztfr,-105.57149771044614,78.32329392620484,26.1121523699796,ab,764,17,
33,58767.19564810023,ztfr,-125.48963506127929,131.06940335142434,26.0711783169821,ab,764,17,
34,58768.200057900045,ztfr,-58.70405373753629,43.25018905598724,26.0973950363417,ab,764,17,
35,58768.24414349999,ztfg,-56.6692743887631,73.88755463716366,25.9588532445952,ab,764,17,
36,58768.25590279978,ztfg,109.22193605874656,81.698374928119,25.9279585558807,ab,764,17,
37,58769.09407409979,ztfr,-14.305763689461822,31.98837650290431,26.1199055083837,ab,764,17,
38,58769.10763890017,ztfr,-79.07548889075906,39.58040661967664,26.12112563962,ab,764,17,
39,58769.20328699984,ztfg,14.474863078327664,60.48865607452176,26.0216098496955,ab,764,17,
40,58769.24568289984,ztfg,40.436846742603294,85.62536990633077,25.9489311625418,ab,764,17,
41,58769.2563426001,ztfg,19.016654365474942,75.19435120803809,25.9178880521023,ab,764,17,
42,58770.20171299996,ztfr,-22.832713274447375,47.76316674010091,26.0951577937982,ab,764,17,
43,58773.10120370006,ztfr,77.1246783292202,41.08727227898123,23.4416932860251,ab,764,17,
44,58773.1167708002,ztfg,-29.24400091361006,24.8142075253244,25.4541760357993,ab,764,17,
45,58776.115011599846,ztfg,26.649249290067928,15.669871755465541,26.1040347882175,ab,764,17,
46,58779.09082179982,ztfr,62.76037179414689,21.249085744024523,26.1385693198498,ab,764,17,
47,58779.11495369999,ztfg,44.58560157958388,16.181584625135848,26.0893294204413,ab,764,17,
48,58782.11280089989,ztfr,130.117448216344,23.077502357571472,26.1337676338844,ab,764,17,
49,58785.101111100055,ztfr,231.619664120402,21.820920682253227,26.1278782582736,ab,764,17,
50,58789.11888890015,ztfg,445.64626469650784,33.14414536827167,26.082146286224,ab,764,17,
51,58790.103159700055,ztfg,467.87201278680317,24.377655915539457,26.0803572431765,ab,764,17,
52,58790.12021989981,ztfr,413.46696656077484,29.85632472046195,26.1211595792002,ab,764,17,
53,58791.09800929995,ztfr,437.30424995630995,22.18772447365641,26.1153503753433,ab,764,17,
54,58791.13204859989,ztfg,444.20194892114773,22.430917611004368,26.033884339391,ab,764,17,
55,58792.120243099984,ztfr,476.55393912584367,28.072920424178243,26.0650932860089,ab,764,17,
56,58793.10219909996,ztfr,460.75992306972813,40.10411976393678,26.1080388477624,ab,764,17,
57,58793.142523100134,ztfg,444.2851204677307,34.07919122975278,26.0288267592777,ab,764,17,
58,58794.10068289982,ztfr,467.19908853761746,25.361452090322594,26.0860969797322,ab,764,17,
59,58794.13310190011,ztfg,440.25347231016406,32.29075106002045,26.0154432547255,ab,764,17,
60,58795.0824190001,ztfr,501.1221244749468,31.108899792837885,26.1107783266589,ab,764,17,
61,58795.12069439981,ztfg,566.7282871151826,44.2022384721811,26.0467602096375,ab,764,17,
62,58796.09689809987,ztfr,508.8741024570696,43.14015278462698,26.1191414430886,ab,764,17,
63,58796.14326390019,ztfg,488.54390700996936,62.16682024377341,26.0392760743367,ab,764,17,
64,58797.07435189979,ztfr,413.9382522933578,44.3681795071305,26.1011932019142,ab,764,17,
65,58797.13499999978,ztfg,472.5316763661624,45.69444765795997,25.9760646510554,ab,764,17,
66,58798.1020717998,ztfg,511.91311004462165,50.25047197097049,26.0617902734233,ab,764,17,
67,58801.09192130016,ztfg,349.56925185165176,26.031193599632786,25.8233378050474,ab,764,17,
68,58804.09807869978,ztfg,442.80191315549075,46.41643180481022,26.0465168315931,ab,764,17,
69,58805.09383099992,ztfg,325.9333422632196,56.38754535394691,25.7567409278632,ab,764,17,
70,58811.07002309989,ztfg,342.7538517233799,56.74637725471189,26.0545615946267,ab,764,17,
71,58811.12178240018,ztfr,210.3717867816535,64.53304439989851,26.0546150398325,ab,764,17,
72,58812.11480320012,ztfg,178.84507671423472,37.449613085571855,25.9659842212266,ab,764,17,
73,58814.136736100074,ztfr,179.0966873951891,143.59968206055814,25.919203820695,ab,764,17,
74,58819.069317100104,ztfg,53.56990958098521,59.07834627036263,25.4639134913535,ab,764,17,
75,58819.09837959986,ztfr,78.12471742089342,76.56312458147941,25.4253603965108,ab,764,17,
