,time,band,flux,fluxerr,zp,zpsys,field,ccd,comment
0,58812.433634299785,ztfg,9.605223480024678,14.014015413086932,26.1538314878639,ab,709,39,
1,58823.43561339984,ztfg,-10.306695003156584,15.479879485148125,24.9807092073081,ab,709,39,
2,58827.32557869982,ztfr,192.52849581059345,57.08128402304228,26.1346650300022,ab,709,39,
3,58827.4467823999,ztfr,215.7460610106448,37.61486973510337,26.1748785035293,ab,709,39,
4,58828.309432900045,ztfr,309.53596464927165,51.54901031369057,25.9880774069771,ab,709,39,
5,58828.311747699976,ztfr,317.5945915894666,35.6738150467193,26.2027095755668,ab,1749,12,
6,58830.449803200085,ztfr,1054.438617346347,33.82941803870443,26.3196751913779,ab,709,39,
7,58830.55533559993,ztfg,873.7339221811193,46.81340598002766,26.3134275798685,ab,709,39,
8,58833.40646990016,ztfr,2577.0941714973033,69.99328202350651,26.3146192123288,ab,709,39,
9,58833.53603010019,ztfg,2289.1073055943307,90.49204774378616,26.3135423180884,ab,709,39,
10,58833.539803199936,ztfg,2267.61691997445,83.513353353842,26.3215997135306,ab,709,39,
11,58833.54071759991,ztfg,2419.5862189302643,78.74426825595417,26.3625043228488,ab,1749,12,
12,58833.54116899986,ztfg,2478.6175800519986,97.77269061251064,26.3504818355946,ab,1749,12,
13,58835.45515049994,ztfr,3421.7320727044835,61.23747413263188,26.2499556389884,ab,1749,12,
14,58835.455601899885,ztfr,3398.774563893638,63.761234746042575,26.2508263918558,ab,1749,12,
15,58836.44728010008,ztfr,4006.6031545937267,37.58325209491794,26.2968846911228,ab,709,39,
16,58839.496724499855,ztfg,517.2028259771215,30.440526922649926,23.7199099371161,ab,709,39,
17,58846.44236110011,ztfr,5155.332332388124,34.40884834581993,26.3181619654812,ab,709,39,
18,58846.44563659979,ztfr,5180.64459048948,34.452430322236495,26.3203353573515,ab,709,39,
19,58846.496435199864,ztfg,5030.251605206995,31.712934431375505,26.3270398525479,ab,709,39,
20,58846.49736109981,ztfg,4968.493332799032,31.503366433218716,26.3246563069782,ab,709,39,
21,58849.48387729982,ztfg,4235.136024289956,30.101463571213248,26.3290255358488,ab,709,39,
22,58849.493437500205,ztfg,4136.468267757439,31.277420494361742,26.3155827056512,ab,709,39,
23,58850.43059029989,ztfg,3792.6732393752695,55.463501572777425,26.2962029980644,ab,709,39,
24,58850.46996530006,ztfr,4036.118964195692,43.41007628090385,26.3069545293673,ab,709,39,
25,58851.44625000004,ztfr,3604.1836362315776,38.312067022850115,26.246007659295,ab,1749,12,
26,58851.44714119984,ztfr,3545.823120202025,40.96415757792193,26.2339236854512,ab,1749,12,
27,58851.46552080009,ztfr,3479.7988885409495,33.37250441043205,26.2241724368096,ab,709,39,
28,58852.427199100144,ztfr,3566.9555360552567,27.539494714037705,26.3297009043461,ab,709,39,
29,58852.42812500009,ztfr,3645.3033272362377,27.704817639314882,26.3441108903602,ab,709,39,
30,58852.48697920004,ztfg,3269.1508876598155,26.33721027959444,26.3275705138361,ab,709,39,
31,58852.49783559982,ztfg,3311.8168585759204,26.002799876324815,26.3304652711874,ab,709,39,
32,58853.42944440013,ztfr,3255.661644438983,27.79527829246276,26.3230760500603,ab,709,39,
