,time,band,flux,fluxerr,zp,zpsys,field,ccd,comment
0,58422.38702550018,ztfr,169.40694821927775,51.051089527006035,26.1118814776458,ab,858,1,
1,58422.38798609981,ztfr,178.57055335761544,46.269858025958754,26.1138836451418,ab,858,1,
2,58422.45136569999,ztfg,178.61724854816325,39.50016994796023,26.2083855304195,ab,858,1,
3,58422.452442099806,ztfg,184.68965478280344,30.69982849560257,26.1978701538055,ab,858,1,
4,58423.31622690009,ztfr,199.7252384343656,24.41942794929083,26.071695333159,ab,858,1,
5,58423.44223379996,ztfg,292.9451741844963,34.80867021734799,26.2294236690562,ab,858,1,
6,58424.342152799945,ztfr,198.21750633633962,46.96211931245151,25.7472382317942,ab,858,1,
7,58424.3646644,ztfg,257.59472296334417,26.024327623850553,25.7981316274803,ab,858,1,
8,58425.360069400165,ztfg,493.50509036819784,15.567409972668116,26.0919972907271,ab,858,1,
9,58425.36106480006,ztfg,547.9557556907994,15.592749875454842,26.189232870861,ab,858,1,
10,58425.44074069988,ztfr,466.3652746715199,18.31107473608988,26.148590563536,ab,858,1,
11,58425.44402780011,ztfr,477.69807352105266,19.87330442005209,26.1500040320417,ab,858,1,
12,58426.388194399886,ztfg,669.7577782556895,15.524289156714294,26.1660560527484,ab,858,1,
13,58426.40790509991,ztfr,536.498556401119,22.157367214835116,26.112705422774,ab,858,1,
14,58427.38574070018,ztfg,226.63124065084742,40.71890531267341,24.5022310906866,ab,1868,36,
15,58427.42072919989,ztfg,559.6157097609013,21.94848258261722,25.7716272693249,ab,858,1,
16,58427.44966439996,ztfr,680.6008179060501,23.860365818748367,26.0886005133772,ab,858,1,
17,58428.27856480004,ztfr,747.2219216990284,49.18539089101143,26.098036721075,ab,858,1,
18,58428.279652799945,ztfr,840.4232626618168,58.77802910640914,26.100287799717,ab,858,1,
19,58428.30089120008,ztfg,989.741524370207,30.842537465698054,26.1501873665075,ab,858,1,
20,58428.32230320014,ztfg,1000.5481892161498,21.622989562463655,26.1704494961303,ab,858,1,
21,58429.380740699824,ztfr,935.3917916537006,22.647212747210673,26.13122359874,ab,858,1,
22,58429.42844909988,ztfg,1273.2679796245818,17.237068836383536,26.1958209468987,ab,858,1,
23,58430.368263899814,ztfg,1370.7456311508543,18.499755218631517,26.1912173695835,ab,1868,36,
24,58430.424351899885,ztfg,1514.296697210294,23.302656738703305,26.2642778662762,ab,858,1,
25,58430.44701390015,ztfr,1058.6424984159917,29.12299849351975,26.1765347425072,ab,858,1,
26,58431.36460650014,ztfr,1070.87175007171,76.07603708638216,26.0733244637761,ab,858,1,
27,58431.365601900034,ztfr,1181.9620554105582,71.10361706504685,26.0773195535949,ab,858,1,
28,58431.45076389983,ztfg,1496.1219136862017,41.742708432577516,26.1757948096297,ab,858,1,
29,58431.45167820016,ztfg,1524.447274152273,35.36651660288221,26.1700324605134,ab,858,1,
30,58432.36422450002,ztfr,1354.3400251644973,28.539013529453314,26.205733080455,ab,1868,36,
31,58432.40775460005,ztfr,1275.8247966840868,28.059752089558813,26.1586996106578,ab,858,1,
32,58432.424016200006,ztfg,1743.1089199029784,29.849906443434463,26.2467447525392,ab,858,1,
33,58434.34549769992,ztfr,1459.3256830196128,70.31609736060601,26.1298568833109,ab,858,1,
34,58434.34755790001,ztfr,1363.318525501424,60.26446530707068,26.1231845089548,ab,858,1,
