,Name,values,errors
0,M_b,-19.100944020901142,0.0
1,alpha,0.12387447079864738,0.0019603971074757904
2,beta,2.9467913030400927,0.01902821423656107
3,delta_H0_0,-0.44249985644007855,0.2305843235501733
4,delta_H0_1,-0.007194840338600499,0.18447316693932708
5,delta_H0_2,-0.06698716907800273,0.15777147611262599
6,delta_H0_3,-0.40230520360483407,0.22547853832005796
7,delta_H0_4,-0.3776818094846578,0.19424242036628622
8,delta_H0_5,0.4666174934166555,0.2131952158488921
9,delta_H0_6,0.022380599189947982,0.20956998419808298
10,delta_H0_7,-0.024511935513633915,0.2021673519334173
11,delta_H0_8,0.37875714843658015,0.21293064577714055
12,delta_H0_9,0.06709071393949419,0.27108809531072686
13,delta_H0_10,0.29190470846377664,0.17975971683255387
