,$\delta H_0$,Error,ra,dec
0,-2.6302900226930337,0.20271090503582498,0.9235799327604186,-0.08618241383947245
1,0.6777862725367364,0.18131363994908506,3.727438923129404,0.8525973808053254
2,-2.4713176942323845,0.21501488969511878,2.2892615637779494,0.1930939400877758
3,1.2314870614707185,0.21065455603272454,5.966128567307845,0.4150974601774755
4,-1.250247913229306,0.17116476851269583,0.3367488479212421,0.35668986141853787
5,-3.533664041664295,0.2080864916380481,1.8814658015574997,0.9465787241427234
6,1.0817600833854684,0.19529018761134923,3.22538117176052,0.11253026087127727
7,3.374554810049164,0.23338784601131,5.635907884497687,-0.12221154269592382
8,-1.5154283523683845,0.189256839198677,2.8049294339258393,0.8661542606832527
9,1.347368714721214,0.18150247774958564,4.704560185616746,0.8356701789339644
10,4.001800700921367,0.22507193612112325,4.126523707347745,0.1765076637334686
