,Name,values,errors
0,M_b,-19.100820489425804,0.0
1,alpha,0.12661776838638217,0.0019175204856895654
2,beta,2.990868032270921,0.01829269631452211
3,delta_H0_0,0.22757588249032012,0.23399938791548797
4,delta_H0_1,0.14955075708585058,0.1969877034732126
5,delta_H0_2,-0.24612733775363707,0.2151050763582074
6,delta_H0_3,-0.6091681387082587,0.15993771544489163
7,delta_H0_4,-0.0005516340530338313,0.20046311025283245
8,delta_H0_5,0.09976564183590833,0.1763480779648163
9,delta_H0_6,-0.3191380811047868,0.20322718885390953
10,delta_H0_7,0.5087172070125691,0.22833273895193826
11,delta_H0_8,0.8071492457890359,0.26466300031047835
12,delta_H0_9,-0.028004318987178676,0.19714410876161195
13,delta_H0_10,0.21186107527802486,0.20202502493000965
