1.226660880312061108e+00,5.953964893133120384e+00
1.706442312674703032e+00,8.925884828299341933e-01
1.293936224077263164e+00,4.287331702691064450e+00
7.142268826752378175e-01,2.813974260952299744e+00
6.203273513692652008e-01,4.789883719976071319e+00
1.183176288928077469e+00,3.747050005719381183e-01
1.721568992144485666e+00,5.603371330842643161e+00
6.828635139184371372e-01,1.880909835023868215e+00
1.434000901785400739e+00,2.445244197036915423e+00
6.668378993569432645e-01,3.780918744540225251e+00
1.452505033485145702e+00,3.424107745621711718e+00
