,Name,values,errors
0,M_b,-19.094590835803068,0.0
1,alpha,0.12681182331347807,0.001949073789815754
2,beta,2.937742044733449,0.01886679437863521
3,delta_H0_0,-0.832885226578974,0.21668586688469202
4,delta_H0_1,-0.24173786023737182,0.1502344940035491
5,delta_H0_2,0.2890140431703624,0.1372686128635669
6,delta_H0_3,-0.24215968958530837,0.18789017926062512
7,delta_H0_4,-0.30413606647909597,0.1654798617241517
8,delta_H0_5,-0.2674242007574743,0.2866034533074905
9,delta_H0_6,0.9274733288358776,0.209728505505096
10,delta_H0_7,0.23838827375827878,0.24552583211331314
11,delta_H0_8,0.2940927917464757,0.36244483446374237
12,delta_H0_9,0.23165149098492085,0.6856887427630575
13,delta_H0_10,0.9907591692563957,0.6061623205865124
14,delta_H0_11,0.6217026937430854,0.5072566846255891
