n_dip,Amp,method,Sim,ra_in,dec_in,delta_H0,Errors,ra,dec
1,5,clustering,0,270.0,-29.999999999999993,-2.0063799555993076,0.2091722169834802,2.4399695382404727,0.13705095373955967
1,5,clustering,0,270.0,-29.999999999999993,2.057695586892386,0.16872081814007692,5.7732613778172,0.12853043263211017
1,5,clustering,0,270.0,-29.999999999999993,-0.5714066013989751,0.21629610651146292,0.3940861157288915,-0.06921014076332788
1,5,clustering,0,270.0,-29.999999999999993,3.397806383110688,0.20761342989009038,4.464060358599512,0.3755662428579427
1,5,clustering,0,270.0,-29.999999999999993,0.7599131231071063,0.18702821919316504,3.67427988981926,0.8251332514805916
1,5,clustering,0,270.0,-29.999999999999993,-3.6296467763589324,0.20050542556095838,1.928979096078708,0.943809864781916
1,5,clustering,0,270.0,-29.999999999999993,-2.2640066847246225,0.25836407326135186,1.1500845501853711,-0.20450220133387687
1,5,clustering,0,270.0,-29.999999999999993,0.7619036686490595,0.20008695280124517,4.699394165533853,1.0089889394279508
1,5,clustering,0,270.0,-29.999999999999993,2.9286027077687775,0.2284307121506526,3.547648279303538,0.07488336550390873
1,5,clustering,0,270.0,-29.999999999999993,-1.9520711162562188,0.21102265677728335,0.48095201216956784,0.6004752818865124
1,5,clustering,0,270.0,-29.999999999999993,-1.6547554169660816,0.19070687435926048,2.8479066132417894,0.7891937370420652
1,5,fixe,0,270.0,-29.999999999999993,-2.7377287511060344,0.205504618856513,0.7853981633974483,0.7297276562269662
1,5,fixe,0,270.0,-29.999999999999993,-2.9215879088730743,0.1393873689162737,2.356194490192345,0.7297276562269662
1,5,fixe,0,270.0,-29.999999999999993,1.0439940275777841,0.13058420318736275,3.926990816987241,0.7297276562269662
1,5,fixe,0,270.0,-29.999999999999993,1.3866134700205293,0.19383739944548822,5.497787143782138,0.7297276562269662
1,5,fixe,0,270.0,-29.999999999999993,0.4848788093145273,0.17260141982608757,0.0,0.0
1,5,fixe,0,270.0,-29.999999999999993,-2.6206132881854294,0.2669920542218417,1.5707963267948966,0.0
1,5,fixe,0,270.0,-29.999999999999993,1.2792595493499432,0.2057969013876658,3.141592653589793,0.0
1,5,fixe,0,270.0,-29.999999999999993,4.212461243835718,0.24867051860043424,4.71238898038469,0.0
1,5,fixe,0,270.0,-29.999999999999993,-1.0028646516658428,0.34056101175274234,0.7853981633974483,-0.7297276562269666
1,5,fixe,0,270.0,-29.999999999999993,-1.8419782932759203,0.643225783326236,2.356194490192345,-0.7297276562269666
1,5,fixe,0,270.0,-29.999999999999993,6.516744979997149,0.9039768507253897,3.926990816987241,-0.7297276562269666
1,5,fixe,0,270.0,-29.999999999999993,5.522096243523331,0.5050122763716992,5.497787143782138,-0.7297276562269666
1,5,clustering,1,270.0,-29.999999999999993,-3.533472679211515,0.20808704564822791,1.8814658015574997,0.9465787241427234
1,5,clustering,1,270.0,-29.999999999999993,0.6781784676694798,0.18131477563913442,3.727438923129404,0.8525973808053254
1,5,clustering,1,270.0,-29.999999999999993,-2.62981256859959,0.2027123498042123,0.9235799327604186,-0.08618241383947245
1,5,clustering,1,270.0,-29.999999999999993,1.213239312145786,0.20900045891139293,5.966726509106316,0.4077768968643718
1,5,clustering,1,270.0,-29.999999999999993,1.0846278710864372,0.19484185122447903,3.2206992628308244,0.11149682244427472
1,5,clustering,1,270.0,-29.999999999999993,4.00227917523065,0.22507331034499203,4.122549819491969,0.17669864806987845
1,5,clustering,1,270.0,-29.999999999999993,-1.5292996974276578,0.18828580478668608,2.802088166253496,0.8616701373301598
1,5,clustering,1,270.0,-29.999999999999993,-1.249986127505566,0.17116537186444028,0.3367488479212421,0.35668986141853787
1,5,clustering,1,270.0,-29.999999999999993,1.3478957750224076,0.18150391363604157,4.704560185616747,0.8356701789339644
1,5,clustering,1,270.0,-29.999999999999993,3.4370586674314656,0.2357387224604253,5.629214659028081,-0.1246940868554205
1,5,clustering,1,270.0,-29.999999999999993,-2.489951818290144,0.21709890955919595,2.2832349707832766,0.18979619720193064
1,5,fixe,1,270.0,-29.999999999999993,-2.7983819782349557,0.2064515004106421,0.7853981633974483,0.7297276562269662
1,5,fixe,1,270.0,-29.999999999999993,-2.4532821243403817,0.13470328658335964,2.356194490192345,0.7297276562269662
1,5,fixe,1,270.0,-29.999999999999993,1.1306116835360869,0.13040383998809493,3.926990816987241,0.7297276562269662
1,5,fixe,1,270.0,-29.999999999999993,1.324687054760527,0.1986983630301051,5.497787143782138,0.7297276562269662
1,5,fixe,1,270.0,-29.999999999999993,0.7470772993274307,0.15829479081846495,0.0,0.0
1,5,fixe,1,270.0,-29.999999999999993,-3.377950530211204,0.24674356685205168,1.5707963267948966,0.0
1,5,fixe,1,270.0,-29.999999999999993,0.8313526436867554,0.18351339072587175,3.141592653589793,0.0
1,5,fixe,1,270.0,-29.999999999999993,4.97681018926073,0.27391951461012576,4.71238898038469,0.0
1,5,fixe,1,270.0,-29.999999999999993,-1.677925836371847,0.39110624284857026,0.7853981633974483,-0.7297276562269666
1,5,fixe,1,270.0,-29.999999999999993,-1.2734115747370487,0.6833632571875642,2.356194490192345,-0.7297276562269666
1,5,fixe,1,270.0,-29.999999999999993,4.8143127488312,0.6748972904295439,3.926990816987241,-0.7297276562269666
1,5,fixe,1,270.0,-29.999999999999993,3.647925867465348,0.4632861021928589,5.497787143782138,-0.7297276562269666
1,5,clustering,2,270.0,-29.999999999999993,1.6401549774823128,0.1806504591509552,4.706150376002848,0.8956715493648457
1,5,clustering,2,270.0,-29.999999999999993,-3.360048406884258,0.20853637779201617,1.962668773387633,0.944935200418777
1,5,clustering,2,270.0,-29.999999999999993,-2.6814384987223714,0.2602649782822665,1.1211019244428355,-0.13802517377877854
1,5,clustering,2,270.0,-29.999999999999993,1.2291964380773097,0.2124665400124169,3.3543204378719502,0.12924003458610733
1,5,clustering,2,270.0,-29.999999999999993,2.618806604888938,0.17661908435809384,4.069065425363424,0.4789667231537962
1,5,clustering,2,270.0,-29.999999999999993,1.0183376346404418,0.21769637517866702,5.963093104710096,0.4598765030546743
1,5,clustering,2,270.0,-29.999999999999993,-1.9144620866171838,0.20705881601184248,0.422135060917618,0.5418006002976399
1,5,clustering,2,270.0,-29.999999999999993,-1.384019580140212,0.1837578121273647,3.0125708177218984,0.8643564892641571
1,5,clustering,2,270.0,-29.999999999999993,3.8274247649509223,0.24639180952920503,5.630472666061639,-0.09456247952753394
1,5,clustering,2,270.0,-29.999999999999993,-2.3282766579221925,0.20209568416194773,2.3829686261280267,0.1860708336244099
1,5,clustering,2,270.0,-29.999999999999993,-0.369892188189635,0.2311022321349046,0.3782917726672399,-0.12537706336766874
1,5,fixe,2,270.0,-29.999999999999993,-2.7031444760840024,0.22302055531141182,0.7853981633974483,0.7297276562269662
1,5,fixe,2,270.0,-29.999999999999993,-2.6625319495605875,0.14470378339802525,2.356194490192345,0.7297276562269662
1,5,fixe,2,270.0,-29.999999999999993,1.3394616290434018,0.13679603015314493,3.926990816987241,0.7297276562269662
1,5,fixe,2,270.0,-29.999999999999993,1.6031088722136102,0.18317302953668385,5.497787143782138,0.7297276562269662
