,Name,values,errors
0,M_b,-19.092930493761845,0.0
1,alpha,0.12883043157969554,0.0019669279537889335
2,beta,2.9409697931671985,0.01892965621720051
3,delta_H0_0,-0.044487963183996226,0.20910837574533703
4,delta_H0_1,0.2444141840828727,0.19330303027708495
5,delta_H0_2,-0.20174059347943046,0.22257303151892704
6,delta_H0_3,0.7940451061378265,0.20868667108321712
7,delta_H0_4,-0.2875205137430554,0.1685506078968442
8,delta_H0_5,-0.4985469180490367,0.22304095604465823
9,delta_H0_6,0.005323344164588241,0.20064611781858438
10,delta_H0_7,-0.02849000288988655,0.20200787530517636
11,delta_H0_8,0.27371297744813444,0.2385286202003697
12,delta_H0_9,0.32973295496447574,0.21389776262967883
13,delta_H0_10,-0.4275034242378654,0.20388033788404814
