,Name,values,errors
0,M_b,-19.102296309984567,0.0
1,alpha,0.1288778019981166,0.0019648776362112303
2,beta,2.9439229662598128,0.018907095182818037
3,delta_H0_0,0.2746412599739679,0.21611443724962245
4,delta_H0_1,0.2299114362219131,0.1464210943245599
5,delta_H0_2,-0.3615993632991693,0.13537462352606078
6,delta_H0_3,0.464741066890348,0.1912567397515791
7,delta_H0_4,-0.09776930604461957,0.16338152900802813
8,delta_H0_5,-0.2000118025413039,0.2711656921851636
9,delta_H0_6,0.17074808519081913,0.20111193379256778
10,delta_H0_7,0.007719975564069236,0.24129306763130245
11,delta_H0_8,-0.2942120465168689,0.36775656087519876
12,delta_H0_9,0.4314333168329881,0.7722889961135028
13,delta_H0_10,-0.46957690294578114,0.6843944924058168
14,delta_H0_11,-0.9174024150090286,0.4094040176562917
