,$\delta H_0$,Error,ra,dec
0,-2.7938861788748097,0.19681346165439828,0.7853981633974483,0.7297276562269662
1,-2.6706485128074595,0.13689811289195242,2.356194490192345,0.7297276562269662
2,1.2373001084855053,0.1304059615213683,3.926990816987241,0.7297276562269662
3,1.308543847155592,0.20275903178835541,5.497787143782138,0.7297276562269662
4,0.5487068960764027,0.16754406386330234,0.0,0.0
5,-3.2546211910887597,0.25820963727181473,1.5707963267948966,0.0
6,1.1213855278925315,0.1974497387219759,3.141592653589793,0.0
7,4.386497936614461,0.26348630853119814,4.71238898038469,0.0
8,-1.5167147554985696,0.3331650841773845,0.7853981633974483,-0.7297276562269666
9,-0.321405140297593,0.6403672988173562,2.356194490192345,-0.7297276562269666
10,5.164539619917953,0.6377218434531993,3.926990816987241,-0.7297276562269666
11,4.725517806599305,0.4501602358908269,5.497787143782138,-0.7297276562269666
