Sim,Mean,std
0,clustering,-0.0035847048340448204,0.4201586440537077
0,fixe,0.34205448510102904,1.009596546281386
1,clustering,0.004155310623227798,0.45195052555402193
1,fixe,0.03508502327422489,0.6540291658142119
2,clustering,-0.03096336410059715,0.4228650917324752
2,fixe,0.1632860947606548,0.5750214802638892
3,clustering,-0.011953630217984151,0.4253776184454537
3,fixe,0.027123557963671985,0.4776982625755404
4,clustering,0.004944933046829553,0.5703787788158737
4,fixe,0.12822839895314952,0.6435918091809865
5,clustering,-0.05733019238247509,0.6075204272467469
6,clustering,-0.012263533975973151,0.4656854867095491
5,fixe,0.2955402833334759,0.9310419623931561
7,clustering,-0.046518951109319424,0.5363294160462133
6,fixe,0.191288547288089,0.6984480946483611
8,clustering,0.017073937942262692,0.5083659169158394
7,fixe,0.21547934380756173,0.7257318894067281
9,clustering,-0.0166801497990777,0.48600974115935525
8,fixe,0.05776650869603331,0.5714083308012103
0,clustering,0.08905691710058077,0.6668064834020052
9,fixe,0.1873113123740655,0.5172218889737645
1,clustering,0.03784517117916029,0.47279882800313583
0,fixe,0.5051147501168908,0.8634055759996118
2,clustering,0.10420808155353328,0.48597820159136373
3,clustering,0.02200467223336225,0.5348871472933675
1,fixe,0.17235088187108197,0.4812579478521799
4,clustering,0.0037718287236907845,0.49101435110542124
2,fixe,0.2996581623136176,0.6139744947249186
5,clustering,0.0354219474009892,0.5221134335617562
3,fixe,0.17449627052545122,0.5578815193548731
6,clustering,-0.018451853289739046,0.4493673173760897
4,fixe,0.26100486422296193,0.4622578702786841
7,clustering,0.08617709786373427,0.5146648147330576
5,fixe,0.4690804219435853,0.8805480831046752
8,clustering,0.04988752889343512,0.5495672129352099
6,fixe,0.32171399299626985,0.6506697326819216
9,clustering,0.02432695618576226,0.6460204826027216
0,clustering,0.04161678178436406,0.4507026702200414
7,fixe,0.35300127673138876,0.650642467499487
1,clustering,-0.008441928140526009,0.4393796532295417
8,fixe,0.22536263432853243,0.5553090237628096
2,clustering,0.03777714804019228,0.406991275251312
9,fixe,0.3477289475386416,0.7758157079990167
3,clustering,0.00034065826187449955,0.5553642990165729
0,fixe,0.0952570568386057,0.4870610261256053
4,clustering,-0.009680719964555481,0.36850062621386287
1,fixe,-0.2070918915349417,0.5127076923418477
5,clustering,0.008318009039224167,0.2889719324126661
6,clustering,-0.032773032901541314,0.38835450836104063
2,fixe,-0.08705428307458185,0.5034721357541556
7,clustering,-0.0021448104053055825,0.3109870897667275
3,fixe,-0.2037461351419375,0.7247230698768681
8,clustering,0.023266392385977386,0.36286749333042434
4,fixe,-0.10269524549380248,0.48402891262181147
9,clustering,0.07398068734821657,0.44182380312707553
5,fixe,0.0898837438203075,0.47190292269204237
0,clustering,0.09108673749933878,0.6356437123928428
6,fixe,-0.07695329751848569,0.4418740872214762
1,clustering,0.007559135744965667,0.670167809565632
7,fixe,-0.02640281983795775,0.31371416004991487
2,clustering,0.006668645631116452,0.49328799822958014
3,clustering,0.041522757990782345,0.6460802360816219
8,fixe,-0.16905314708158847,0.5503585549939962
4,clustering,0.0019712116519094297,0.47319399896697784
9,fixe,-0.04014167929258281,0.6227998071829274
5,clustering,0.039590460328060816,0.4849051135093033
0,fixe,0.12853787038556982,0.6637411189288186
6,clustering,-0.025352555806645426,0.5653789157514938
1,fixe,-0.18973407398012462,0.6910059959269784
7,clustering,0.019711702085082005,0.5445473424327563
2,fixe,-0.05521333627126553,0.624408846976978
8,clustering,-0.0026493500445853766,0.5130105933357588
3,fixe,-0.15987222281277244,0.8252441120442873
9,clustering,0.13476713738956583,0.636970500739694
0,clustering,-0.02755080947200685,0.5207841753033453
4,fixe,-0.07070763004427034,0.5017815130226267
1,clustering,-0.025976664126661598,0.5373138488662053
5,fixe,0.13281223270622783,0.834265705786858
2,clustering,-0.1095627053313642,0.5060256628497461
6,fixe,-0.023484572838899802,0.7462783280417412
3,clustering,-0.012267473972482864,0.5184686860529989
7,fixe,-0.0029756360215802227,0.6717873160050375
4,clustering,-0.0022617149210821023,0.5801730171096104
8,fixe,-0.11729245296668585,0.5805618454761968
5,clustering,-0.017463850640468005,0.577033674958895
9,fixe,-0.002485276613538978,0.8539368114459227
6,clustering,-0.01677491704318985,0.5696613330651591
7,clustering,-0.0918584516200171,0.6033430246775415
0,fixe,0.0161933421380156,0.8276936508615704
8,clustering,-0.04549322315591956,0.50363251554471
1,fixe,-0.2743128807588204,0.7289438611553591
9,clustering,-0.01886801802900322,0.5146879223286681
2,fixe,-0.1436832094926371,0.5125863456606531
0,clustering,-0.03193542137493071,0.2998433608256423
3,fixe,-0.26609494023299324,0.6805436332644447
1,clustering,-0.02533636609690305,0.3718986556872022
4,fixe,-0.1595170330235343,0.624376351667226
2,clustering,-0.03210809255732228,0.3120869464085566
3,clustering,-0.013058964461210918,0.4537834363738507
5,fixe,0.0007776532835604885,0.7972633661584703
4,clustering,-0.014618354369141372,0.3621852121647321
6,fixe,-0.11311636058296377,0.7062263668015392
5,clustering,-0.019984525608983308,0.29204014799812955
7,fixe,-0.09023055942738213,0.651896245381499
6,clustering,-0.03207771073301388,0.36323477771134627
8,fixe,-0.2447091491630833,0.5649635888411234
7,clustering,-0.04258933242706133,0.31910664249121506
9,fixe,-0.11730345225860728,0.5279957905738436
8,clustering,-0.016212051007672718,0.2756624730334579
0,fixe,-0.008605128573665017,0.5351246259664417
9,clustering,0.0171238038135513,0.27221812305997967
0,clustering,0.033188983801104986,0.5746772934991577
1,fixe,-0.2994458333723832,0.5359001993670369
1,clustering,0.0041300535300229785,0.5326977153271376
2,fixe,-0.17561083840357516,0.3550282185897703
2,clustering,0.07058446276978343,0.6741531819951012
3,fixe,-0.2947486269750885,0.6415569215589779
3,clustering,-0.008575816933702768,0.7026171608852356
4,fixe,-0.1880704702505581,0.4570682417921827
4,clustering,-0.011447272031664138,0.632129187589572
5,fixe,-0.015269530332988668,0.477455545262761
5,clustering,-0.001971378178431756,0.529168917831224
6,fixe,-0.1577073434884451,0.4459836475480173
6,clustering,-0.022326252773853434,0.5417085967115169
7,clustering,-0.012813651695674699,0.5009504673778793
7,fixe,-0.11723986110277451,0.3179117326190652
8,clustering,0.011710209978372113,0.5941615142989446
8,fixe,-0.2699239769672616,0.45446676824252386
9,clustering,0.11148584128099875,0.6225053071537725
9,fixe,-0.13994515422822118,0.42194411903444573
0,clustering,0.02233707679433446,0.4846529440120252
0,fixe,0.28920504545890485,0.7633598580894612
1,clustering,0.011732023047433688,0.47468337012964756
1,fixe,-0.015963284657047064,0.5414792074570431
2,clustering,0.05803499730941947,0.5943966377463631
2,fixe,0.09728161600092654,0.6430413461407681
3,clustering,-0.01516719328681071,0.6050457541659294
4,clustering,-0.05391853139719848,0.5704572128486181
3,fixe,-0.03430863480608234,0.6811646778970143
5,clustering,-0.021662401014018617,0.5336801781312348
4,fixe,0.06884096023459658,0.6503813317096089
6,clustering,-0.014809450618798467,0.48763107966279245
5,fixe,0.2582560156611265,0.6201198402029786
7,clustering,-0.024222171702607837,0.4788819905391081
6,fixe,0.09827333917887976,0.49592470663907817
8,clustering,-0.011296110304819565,0.5422487625024836
7,fixe,0.16007954930574364,0.47108185660524127
9,clustering,0.030477960185274405,0.5772792928712034
0,clustering,0.11674394681705247,0.735541694190268
8,fixe,0.0016372341469178635,0.6828666351430664
1,clustering,0.013747930493298552,0.6347707426696136
9,fixe,0.13827862103696728,0.6349742732265453
2,clustering,0.07815987579706418,0.506701352171065
0,fixe,0.3948215734233648,0.8890907958894664
3,clustering,0.047413295890135675,0.6366748792832292
1,fixe,0.08601279374548043,0.5026825179461162
4,clustering,-0.019338652804911805,0.4692556801930389
2,fixe,0.203047675563234,0.5904123545800413
5,clustering,0.013385395923865874,0.587558310832585
3,fixe,0.06470368112319932,0.5045725356175152
6,clustering,-0.019865740855665073,0.5693525451557624
7,clustering,0.04277741367299096,0.652335807496473
4,fixe,0.16675877303103692,0.6229050064014688
8,clustering,0.07417283554914539,0.6040923521678363
5,fixe,0.3483742676535286,0.7437237536563619
9,clustering,0.11828112108768803,0.7478645158526795
