,Name,values,errors
0,M_b,-19.094590835803068,0.0
1,alpha,0.1264276979266992,0.0019465354652457546
2,beta,2.9371174047122,0.018866159829940908
3,delta_H0_0,0.8618528567792498,0.19894782353699259
4,delta_H0_1,-0.61703001078117,0.2104967243885405
5,delta_H0_2,0.10910340377625585,0.19026279513995956
6,delta_H0_3,0.13770302799921685,0.17230160985968312
7,delta_H0_4,-0.6051142753781045,0.2074526095744387
8,delta_H0_5,-0.5461597341732207,0.23836723091296752
9,delta_H0_6,-0.13705300558479072,0.19416976649370724
10,delta_H0_7,0.16445063821835781,0.2635887847208766
11,delta_H0_8,0.13313144995711268,0.23613843902524514
12,delta_H0_9,-0.34804153415500877,0.22372812376705423
13,delta_H0_10,0.5398772864328003,0.20419149706612183
