,Name,values,errors
0,M_b,-19.104099030501477,0.0
1,alpha,0.12641968356236188,0.0019458044437705496
2,beta,2.9391234599543803,0.018848277428722925
3,delta_H0_0,0.13931021752888276,0.22178446921723866
4,delta_H0_1,0.00043097117495303344,0.21223647741867302
5,delta_H0_2,-0.13912322088808463,0.16993101452672796
6,delta_H0_3,-0.1977868570693342,0.2103998259509777
7,delta_H0_4,0.17791272224808594,0.20147269677723403
8,delta_H0_5,-0.09374808296412561,0.22375959299376189
9,delta_H0_6,-0.10651030785180894,0.2012987653985852
10,delta_H0_7,0.25247155288244727,0.21119196523746908
11,delta_H0_8,-0.018586992915214526,0.19425180478846385
12,delta_H0_9,-0.13502966843386674,0.21958613715806746
13,delta_H0_10,0.2902828916696654,0.265131036024101
