,$\delta H_0$,Error,ra,dec
0,-0.5926042459044072,0.21963986644651382,0.3986012553968741,-0.07940310350022384
1,0.7715193445281768,0.18591643170095382,3.678190059751007,0.8296340752445583
2,2.0706563518757974,0.1688481771871145,5.775183085086235,0.12959252871103022
3,-2.0020637697510963,0.20879972009683576,2.434124908695652,0.14019059110135546
4,-1.824234496684798,0.19160281107052032,2.808709559861959,0.8144838940144745
5,0.8069260343039708,0.191282878588974,4.692973404794884,0.970338333398977
6,-1.8921325955332535,0.20797191513430208,0.4757337449561288,0.5925498101459518
7,-3.6708360047130077,0.20620577924808778,1.900977405172216,0.9465835301323954
8,2.6968721377772944,0.225685409143839,3.4970306417935686,0.09461798848126435
9,3.6446108757403852,0.21523633682006263,4.431112004945782,0.32229452849376905
10,-2.251561175513866,0.25857510715693666,1.1528975738636031,-0.2028064888830765
