,Name,values,errors
0,M_b,-19.10427004387786,0.0
1,alpha,0.12774171932323752,0.001971829062531724
2,beta,2.9565833247877493,0.018939832310448584
3,delta_H0_0,0.13180297167287824,0.21207664564818876
4,delta_H0_1,-0.08995745458305622,0.14695900649462013
5,delta_H0_2,0.13230032745586667,0.1355888126365929
6,delta_H0_3,0.07364192739961292,0.19806652363131505
7,delta_H0_4,-0.21263811263788812,0.16179246928874283
8,delta_H0_5,-0.0005718861679723025,0.27198546945831803
9,delta_H0_6,-0.09859045753960842,0.19330357459024233
10,delta_H0_7,0.15096252483913014,0.2520815021641405
11,delta_H0_8,-0.2432482348018454,0.36547197522075114
12,delta_H0_9,0.11685306291977164,0.6715199934713402
13,delta_H0_10,0.07908048976298444,0.6305769263887688
14,delta_H0_11,0.34924104453436217,0.4083913482753696
