color,Amp,method,ra_in,dec_in,H0_fit,delta_H0_fit,ra_fit,dec_fit
y,1,clustering,108.0,-330.0,70.05841318808191,-0.9445201696134344,-0.9070485325175116,0.13840066849853555
y,1,clustering,108.0,-330.0,69.91300856708321,-0.9603275216762011,-1.1425550106547628,-0.3190066614100336
y,1,clustering,108.0,-330.0,70.01669932022517,-1.1656964486976245,-1.0340367015761467,-0.06949867468074736
m,1,clustering,252.0,45.0,69.80372873420734,-0.7638136034940799,0.6538971455968294,-0.5607817696909021
m,1,clustering,252.0,45.0,69.6944299763908,-0.9335098467793109,0.7835388449209042,-0.8090558043527286
m,1,clustering,252.0,45.0,69.67096348823983,-0.992186557810511,1.2366465861640152,-0.8550317851141566
m,1,clustering,252.0,45.0,69.60472646820328,-1.0648681844929933,1.2976664157977,-1.1329690884739536
m,1,clustering,252.0,45.0,69.77097463110925,-1.0292005618347342,1.2492073268185504,-0.5318295389400404
m,1,clustering,252.0,45.0,69.83501650893527,-0.9669069754570924,1.028408714010226,-0.27022651037444323
m,1,clustering,252.0,45.0,69.66412041810523,-1.0504090973761078,1.035149952251945,-0.8553339199487999
m,1,clustering,252.0,45.0,69.88768846066094,-0.8765820468968005,0.8833543982279067,-0.19182717695347676
m,1,clustering,252.0,45.0,69.8020792792077,-0.8400103974617505,1.0513520173920747,-0.4933400497626309
m,1,clustering,252.0,45.0,69.86387828620418,-0.7835383015007016,0.6906839546348446,-0.3074770268091631
