,Name,values,errors
0,M_b,-19.089288663208464,0.0
1,alpha,0.12718176506577394,0.001981034401355253
2,beta,2.966327667973287,0.019233876921123844
3,delta_H0_0,0.33315408790976553,0.20883967048996954
4,delta_H0_1,-0.3390984545218431,0.21523840922498524
5,delta_H0_2,0.4044619899256668,0.17176401221886878
6,delta_H0_3,-0.19761996311185256,0.2727848806050365
7,delta_H0_4,0.34346152752771586,0.23319743289417985
8,delta_H0_5,0.4801642211092389,0.2136199264947863
9,delta_H0_6,-0.4278775438408199,0.21706597811803074
10,delta_H0_7,-0.1424880082238692,0.23253985821875095
11,delta_H0_8,-0.03915198822336169,0.18431561969201218
12,delta_H0_9,-0.6632548911467913,0.2082928784439729
13,delta_H0_10,-0.008292187415853875,0.17703511732592692
