,$\delta H_0$,Error,ra,dec
0,-2.218171356092379,0.2090433983981672,0.7853981633974483,0.7297276562269662
1,-2.727202043438434,0.14064171863059935,2.356194490192345,0.7297276562269662
2,0.9406472929381409,0.13786843419366268,3.926990816987241,0.7297276562269662
3,1.8722773071718903,0.19501487816488655,5.497787143782138,0.7297276562269662
4,0.4990020272645837,0.16480446540696433,0.0,0.0
5,-3.272622648754439,0.26002719850547695,1.5707963267948966,0.0
6,0.786887853615044,0.20289410403131053,3.141592653589793,0.0
7,4.3859366044619605,0.25572099090197964,4.71238898038469,0.0
8,-1.675129269097535,0.36096148516113546,0.7853981633974483,-0.7297276562269666
9,-1.1633691245847577,0.7558757778667459,2.356194490192345,-0.7297276562269666
10,3.9805772400991257,0.7267620267258807,3.926990816987241,-0.7297276562269666
11,3.6254189907608416,0.43543440226265695,5.497787143782138,-0.7297276562269666
