1.286104050664881093e+00,4.432492798402815737e+00
6.757075450578775566e-01,1.953304655290927228e+00
1.633278208736413717e+00,3.407778688203424444e-01
1.497259100790525821e+00,3.466777642587130615e+00
1.437305828400295304e+00,5.802978871414453010e+00
6.111475757940345588e-01,4.798779167644273258e+00
7.416593877221118181e-01,3.029568455362515955e+00
9.633050809430562245e-01,4.334755001502275107e-01
1.713521382257962244e+00,1.130538794682284021e+00
7.254035931921654079e-01,3.910132558833941729e+00
1.417714299395331556e+00,2.453375013810062732e+00
