,Name,values,errors
0,M_b,-19.089288663208464,0.0
1,alpha,0.12703219400583213,0.001981871461744592
2,beta,2.9677429393764547,0.01922580566959144
3,delta_H0_0,-0.9095512748941434,0.2221056883634943
4,delta_H0_1,-0.10360476808417945,0.1452009210883969
5,delta_H0_2,0.1680247916417303,0.1367808674524543
6,delta_H0_3,-0.08282974514712844,0.18331260202810815
7,delta_H0_4,-0.12519287011059266,0.16690223231698112
8,delta_H0_5,-0.10045829366146507,0.2773733935010898
9,delta_H0_6,0.30846278568749175,0.20062629097746557
10,delta_H0_7,0.4833750215752285,0.27058325511992165
11,delta_H0_8,0.15703704009816383,0.35406792198249487
12,delta_H0_9,1.1276635432161295,0.6509247127150205
13,delta_H0_10,1.3867314070406478,0.7668010533371323
14,delta_H0_11,0.46434294856623587,0.4543722522124674
