Sim,Mean,std
0,clustering,0.087515280640043,1.276202457631922
0,fixe,0.5539067622378552,2.0216547200842907
1,clustering,0.008536234187057595,1.3383447288550359
1,fixe,0.2568806356715353,1.6821837634190444
2,clustering,-0.0912768588728478,1.29273551461014
2,fixe,0.38282006149065295,1.641108016124769
3,clustering,-0.04940778933941836,1.2711947144637261
3,fixe,0.21725463307996526,1.4720604282439813
4,clustering,-0.006302857546306033,1.4768174525595394
4,fixe,0.329164138194357,1.7456657865995602
5,clustering,-0.15036270632378798,1.4614639244039815
5,fixe,0.4572477213656108,1.8935672742059817
6,clustering,0.017658600794333717,1.2953959264088843
7,clustering,-0.03928537262227951,1.4143382047715332
6,fixe,0.41416520559464026,1.683856363995421
8,clustering,-0.12536211557285618,1.3339154243218814
7,fixe,0.4324069885131725,1.7444473411768169
9,clustering,-0.05545263368399667,1.3065846249865474
8,fixe,0.23527461370668742,1.633919162714608
0,clustering,0.17499144941107891,1.6480542042349307
9,fixe,0.376369634287905,1.4861280183781773
1,clustering,0.11236323421989142,1.2924569076827883
0,fixe,1.050565396480343,1.7259292966760824
2,clustering,0.32108710964674136,1.4513197219314937
1,fixe,0.6747570611961505,1.3706991155857788
3,clustering,0.07039670239746272,1.4159862886955292
2,fixe,0.7985759538343914,1.5777649513348244
4,clustering,0.0444801061425516,1.3565558408955978
5,clustering,0.17447602022548228,1.4655759589997606
3,fixe,0.6659803895711561,1.452205937065026
6,clustering,0.011999159255917899,1.3416577108727386
4,fixe,0.7330813166102729,1.433027627033012
7,clustering,0.11983539407228638,1.542720826779427
5,fixe,0.9855822900189289,1.7262614193028831
8,clustering,0.06212077433893556,1.423122608522306
6,fixe,0.8119308852657635,1.557836354991265
9,clustering,0.28351306259204473,1.6883100648132874
7,fixe,0.8517979503222887,1.5622716668653795
0,clustering,0.06295827536368803,1.1834896359046911
8,fixe,0.7457412846846926,1.5350364236682292
1,clustering,-0.028523862519654577,1.1880047918203633
2,clustering,-0.07173472087822996,1.212978687185446
9,fixe,0.8654586154733391,1.7373657334995687
3,clustering,0.012869668559149783,1.3159287189872406
0,fixe,-0.18671938147475653,1.2005854705768988
4,clustering,0.0062865060157447404,1.1176808125059936
1,fixe,-0.46928511010402846,1.4362405484669205
5,clustering,0.043024938098584035,1.0659806046609122
2,fixe,-0.3679844596170205,1.4628624828218177
6,clustering,-0.06266054606131206,1.097499066471411
3,fixe,-0.4748091520337314,1.660771532206865
7,clustering,0.011196591567597202,1.0698809112696792
4,fixe,-0.3639576279276775,1.4679017587453416
8,clustering,0.04826041900687269,1.1835214860717147
9,clustering,0.08093203257006608,1.156068179474315
5,fixe,-0.1586644089047211,1.1563484582996293
