,Name,values,errors
0,M_b,-19.092142681092522,0.0
1,alpha,0.12707601459321835,0.0018831640163182635
2,beta,2.950372701763498,0.018159896369919593
3,delta_H0_0,-1.0569325972110835,0.2014373701609667
4,delta_H0_1,-0.1340124434186099,0.14176936688470596
5,delta_H0_2,0.09989724492625984,0.1283639939027112
6,delta_H0_3,-0.38494610895292336,0.19810725434120735
7,delta_H0_4,-0.2194938275208561,0.16572022020555477
8,delta_H0_5,-0.23576688936466011,0.268954249402933
9,delta_H0_6,1.153143214795521,0.19744219599433785
10,delta_H0_7,0.5106468489576302,0.25041068281399054
11,delta_H0_8,-0.3103521760446734,0.33851355879884065
12,delta_H0_9,1.550078212015766,0.6566544092838813
13,delta_H0_10,1.6727308776035432,0.609351232323529
14,delta_H0_11,0.696228136371477,0.42671923195244194
