,Name,values,errors
0,M_b,-19.101127449025935,0.0
1,alpha,0.1278228457522783,0.001915681334155603
2,beta,2.991579640072178,0.018673051847820425
3,delta_H0_0,0.10537715007974845,0.2075289911669428
4,delta_H0_1,0.11407966638724513,0.14140350313471045
5,delta_H0_2,0.05101763476811308,0.13395475271792984
6,delta_H0_3,-0.30898361025792354,0.18254037898066178
7,delta_H0_4,-0.0019459949234089044,0.15977220949422344
8,delta_H0_5,-0.05056313083536429,0.2554075410536562
9,delta_H0_6,0.01039461813478383,0.20533352621728487
10,delta_H0_7,-0.0027312576857109016,0.25418594744299083
11,delta_H0_8,-0.28930287411337874,0.35007890423839444
12,delta_H0_9,0.8187455445435738,0.6924897871265736
13,delta_H0_10,1.0951583634880326,0.7752525739298014
14,delta_H0_11,-0.5279385705628011,0.47137198618031007
