Sim,Mean,std
0,clustering,-0.1810287568146767,2.1276267401278277
0,fixe,0.7767729525427235,3.1043937978024725
1,clustering,0.02756303146264616,2.2776090679085437
1,fixe,0.4909854535810534,2.773990154769797
2,clustering,-0.14201808320299406,2.162593888721132
2,fixe,0.614008294370187,2.7462168786196908
3,clustering,-0.0476487743158576,2.1836816205823357
3,fixe,0.4195210728620034,2.5592807885639877
4,clustering,0.09697495306125231,2.4091827870242963
4,fixe,0.5423373260066887,2.8669782089486433
5,clustering,-0.23706458551905318,2.3504010971801717
5,fixe,0.6301367347944739,2.9656124667906827
6,clustering,0.04067526163968402,2.2005737281678206
6,fixe,0.6493180486389823,2.753542306241373
7,clustering,-0.10763912707565582,2.2783579917134205
7,fixe,0.6612679970145465,2.8244952144390565
8,clustering,0.08903023905924301,2.286087395538021
8,fixe,0.4248483698706831,2.72768529660142
9,clustering,-0.29735776409018505,2.0864750647928165
0,clustering,0.36798165379654657,2.645188197232862
9,fixe,0.5762995051174941,2.5650976607915847
1,clustering,0.19461625902744395,2.173030770009988
0,fixe,1.6185798609881283,2.71666964736951
2,clustering,0.5505993253752856,2.4312920613830884
1,fixe,1.1978736249699335,2.355995906456638
3,clustering,0.11548830142014084,2.3251440670706365
2,fixe,1.3183051509805435,2.583850828877765
4,clustering,-0.01605247156386329,2.2550783343962184
3,fixe,1.178516610541674,2.448243015761611
5,clustering,0.3049883215774916,2.468784619079388
6,clustering,0.02728001558200747,2.306973488355953
4,fixe,1.2256967277389517,2.4402365856996435
7,clustering,0.21444605481979898,2.5549417837867514
5,fixe,1.5241353938465594,2.701577697046807
8,clustering,0.12984629664626748,2.3431621217796614
6,fixe,1.3235264506102744,2.5673656896259676
9,clustering,0.4060782484762919,2.734158474879747
7,fixe,1.3717826135555125,2.556822778565601
8,fixe,1.288348575958899,2.558731886243586
0,clustering,0.08896247072191499,1.9866419708111034
1,clustering,-0.04248344483208099,1.977135551953877
9,fixe,1.4057078175444813,2.770635077044055
2,clustering,0.17308257919033285,1.9964239494902833
0,fixe,-0.4565739695157514,2.145875811069162
