,Name,values,errors
0,M_b,-19.100944020901142,0.0
1,alpha,0.12396910159668646,0.001958277695165704
2,beta,2.947511306107905,0.01906210397499808
3,delta_H0_0,-0.22101214975473585,0.20919651046286575
4,delta_H0_1,-0.11474353440102299,0.14864950153081324
5,delta_H0_2,0.10442068306539694,0.12820528946939316
6,delta_H0_3,-0.523237459008617,0.1881905632948661
7,delta_H0_4,-0.02591605520239529,0.16094743773169623
8,delta_H0_5,-0.2533955865493596,0.27730208189520655
9,delta_H0_6,0.45013104312629604,0.19004220107385356
10,delta_H0_7,-0.0037856650614290534,0.24552849609172497
11,delta_H0_8,0.6633521750136486,0.3987137258312721
12,delta_H0_9,1.0102531253364906,0.7059558821590709
13,delta_H0_10,1.8573753921788518,0.6052076257077189
14,delta_H0_11,-0.31738999908491133,0.42512742916875457
