,time,band,flux,fluxerr,zp,zpsys,field,ccd,comment
0,59042.35918979999,ztfg,116.7099912885042,44.55368311286441,25.8576500300175,ab,343,51,
1,59042.48039350007,ztfr,73.74619778621216,29.73011448991145,26.1030412722606,ab,343,51,
2,59045.35983800003,ztfr,185.82454801748491,29.616516679729127,26.078441489848,ab,343,51,
3,59045.44438660005,ztfg,184.3885914956832,18.93789399346034,26.2190384874948,ab,343,51,
4,59048.39972219989,ztfr,367.9132649274367,18.576862859056213,26.142980487715,ab,343,51,
5,59051.396574100014,ztfr,460.2336896259631,23.622545076827464,26.1118480685333,ab,343,51,
6,59054.3968055998,ztfr,565.2499977063301,24.890221523220983,26.1421923610221,ab,343,51,
7,59057.45810189983,ztfr,617.9684797949848,22.41720726591027,26.1400907564164,ab,343,51,
8,59061.4009953998,ztfr,501.187967575704,27.053049292176528,26.136885526311,ab,343,51,
9,59063.37581019988,ztfr,534.4489748414659,88.93170140545884,26.1542643921021,ab,343,51,
10,59063.41922450019,ztfg,578.0492796856544,83.623952986848,26.2173492825984,ab,343,51,
11,59073.35505789984,ztfg,186.56099387070103,21.214493587493717,26.1806813779342,ab,343,51,
12,59073.43962959992,ztfr,312.96075256291863,29.55002214961037,26.1210023550862,ab,343,51,
13,59075.43666670006,ztfg,106.16738340011693,17.743146228726086,26.0750486876286,ab,1387,27,
14,59075.43712959997,ztfg,145.75817282472298,17.23862008993417,26.062038834805,ab,1387,27,
15,59082.43446760019,ztfg,30.209097313453228,19.804011488772584,25.846915677972,ab,1387,27,
16,59084.40427079983,ztfg,82.62741876725582,14.778677854151095,26.0877978553002,ab,1387,27,
17,59084.40473379986,ztfg,80.55278734875665,14.319780523425736,26.0918725013872,ab,1387,27,
18,59089.37271990022,ztfg,77.6957573202502,17.16410470327474,26.0119063528247,ab,1387,27,
19,59089.373182899784,ztfg,36.98777139087533,18.404501687522455,26.0092770178669,ab,1387,27,
20,59092.40153940022,ztfg,41.51004879897116,62.306414358470626,26.1528178401552,ab,1387,27,
21,59092.402002300136,ztfg,68.67479949411768,63.53412322814655,26.1740217035548,ab,1387,27,
22,59098.33359949989,ztfr,107.28241687181486,36.16314037367137,26.1067872379695,ab,343,51,
23,59106.311122700106,ztfg,4.216323392923952,12.067058799376076,25.1839567566685,ab,343,51,
24,59106.33636569977,ztfr,41.45460028881803,16.393004727874786,25.4598998036428,ab,343,51,
25,59107.293877299875,ztfr,70.22557359108768,18.42393032508836,25.529216101067,ab,343,51,
26,59107.33747689985,ztfg,9.31041771982973,14.026314713171667,25.5075226194061,ab,343,51,
27,59108.30935190013,ztfg,0.07994449800270864,12.042823800402651,25.4104396090649,ab,343,51,
28,59109.23221059982,ztfr,39.1021605308162,22.019596466424176,25.7944950322132,ab,343,51,
29,59110.285740700085,ztfr,-23.86050694747259,31.22793940351562,24.5322833317875,ab,343,51,
30,59110.326597199775,ztfg,-0.9839663317967045,20.862796088255084,25.7121833436726,ab,343,51,
