,time,band,flux,fluxerr,zp,zpsys,field,ccd,comment
0,58583.280509300064,ztfr,-48.25360041785582,66.67245994259345,27.2972912086429,ab,427,4,
1,58583.315775500145,ztfr,-30.731100600636168,66.04014742620991,27.2869450960873,ab,427,4,
2,58583.31744210003,ztfr,1.5563734993567284,34.042069574118614,26.0874648982799,ab,427,4,
3,58583.35325230006,ztfr,-56.652255792392396,69.01623597023364,27.2448031856116,ab,427,4,
4,58584.28842590004,ztfg,-25.477978321247452,30.525841762744125,26.1290941324212,ab,427,4,
5,58584.28932869993,ztfg,-17.203314199396882,31.66657645618904,26.1089277942655,ab,427,4,
6,58584.3588657002,ztfr,-97.31053088538245,55.40395438418877,27.3562769184167,ab,427,4,
7,58584.3604629999,ztfr,28.53105650455489,29.8269955849267,26.1439487856632,ab,427,4,
8,58584.36136570014,ztfr,20.360036822836253,27.80114658818194,26.1475817800104,ab,427,4,
9,58584.41582180001,ztfr,23.917690408797437,60.00928718450325,27.3429711810016,ab,427,4,
10,58585.27348379977,ztfg,-20.55247938267763,23.239635335234592,26.1129982834385,ab,427,4,
11,58585.29489579983,ztfr,-1.813271475377087,47.18169332440728,27.3118588193743,ab,427,4,
12,58585.3141319002,ztfr,4.448018244539984,56.16508569403933,27.3210910754561,ab,427,4,
13,58585.33459489979,ztfr,5.288464848103904,21.289757113860396,26.1178517777858,ab,427,4,
14,58585.33550930023,ztfr,16.4996862634437,35.40645729533525,27.3101311964124,ab,427,4,
15,58585.33717590012,ztfr,-28.19192799919887,39.237979619704745,27.3216916040291,ab,427,4,
16,58585.398321799934,ztfr,6.856572804251432,34.01646992805066,27.3066481171947,ab,427,4,
17,58585.41776619991,ztfr,-101.37920648389925,37.508025271546,27.3127355107099,ab,427,4,
18,58586.23412040016,ztfr,-0.3693108764658004,74.5038534962993,27.2278718507275,ab,427,4,
19,58586.31515049981,ztfr,119.12602000940743,68.79338543461861,27.331291716627,ab,427,4,
20,58586.33392360015,ztfr,-56.54892251710725,31.57646086922893,26.155833641115,ab,427,4,
21,58586.33584489999,ztfr,44.67624037221268,55.102738955341785,27.3503579772811,ab,427,4,
22,58586.35495370021,ztfr,23.570526582669842,48.60716525766186,27.3541757458524,ab,427,4,
23,58586.375740699936,ztfr,12.834490642289504,62.841528967007925,27.3530418686065,ab,427,4,
24,58587.31067130016,ztfr,-100.56617304029075,66.80996790124554,27.349528168584,ab,427,4,
25,58587.39456020016,ztfr,51.34423825033261,60.47870989809413,27.0614313069326,ab,427,4,
26,58587.39616899984,ztfr,78.09313611944081,66.51216314116701,26.9946776918446,ab,427,4,
27,58587.39731479995,ztfr,-35.916479125102846,58.09999193839137,27.0078651911656,ab,427,4,
28,58587.417685199995,ztfr,-64.18145399834755,53.98425922304048,27.1780928766419,ab,427,4,
29,58588.31452549994,ztfg,64.2322107308846,38.18545481359327,25.7021699300877,ab,427,4,
30,58588.31542820018,ztfg,-3.001883962378206,42.95145674784175,25.2598697558694,ab,427,4,
31,58588.35479169991,ztfr,-92.49456413817293,46.62752208020174,27.3190308518841,ab,427,4,
32,58588.35645829979,ztfr,-52.18462055365191,99.32775554693993,26.6401015660302,ab,427,4,
33,58588.35901620006,ztfr,5.411620890465342,43.13976524454221,25.0046194544765,ab,427,4,
34,58588.35993060004,ztfr,20.49333908992063,153.7682578999234,25.7645917460956,ab,427,4,
35,58588.376863399986,ztfr,19.38260255911518,54.217448621848895,27.3527727023096,ab,427,4,
36,58588.37844910007,ztfr,71.28603107308757,53.43984971069055,27.3470880810886,ab,427,4,
37,58588.43792819977,ztfr,-82.55103470215747,44.87867034272613,27.3575249639374,ab,427,4,
38,58589.2317476999,ztfr,-221.81122950274906,229.443943799414,26.3691165081568,ab,427,4,
39,58589.2739467998,ztfr,8.22094699671435,255.11403340403248,26.8342608835729,ab,427,4,
40,58589.29399310006,ztfr,-49.73473163758876,252.94433893358445,26.3649874209584,ab,427,4,
41,58589.29656249983,ztfr,-138.05331568873282,167.87929959836478,26.8099178824472,ab,427,4,
42,58589.332372699864,ztfr,-208.2491823098654,311.8618109597789,25.9223305020382,ab,427,4,
43,58589.334629599936,ztfr,-175.48408421419592,361.0765887957168,25.7414233380658,ab,427,4,
44,58591.37483800016,ztfr,200.19450774788282,184.40720571455648,27.3418697286228,ab,427,4,
45,58591.377465299796,ztfr,-77.01854808402496,212.48023593333588,27.3657213606379,ab,427,4,
46,58596.2587731001,ztfr,-44.326236205281695,70.63177513306943,27.3299253137683,ab,427,4,
47,58596.27494210005,ztfr,-37.972964502460655,83.12156926588258,27.3367093452001,ab,427,4,
48,58596.29312499985,ztfr,-144.34315279151687,76.61986067726312,27.3582784056967,ab,427,4,
49,58596.33250000002,ztfr,-91.67478041942346,87.30136817744072,27.3599776357757,ab,427,4,
50,58596.43787040003,ztfr,-85.37624651115537,90.84888127926388,27.3332239701859,ab,427,4,
51,58597.295300900005,ztfg,-6.473013087448244,26.284018201938835,26.1966191383012,ab,427,4,
52,58597.29621529998,ztfg,4.743824777427465,20.61586523739702,26.1928713669514,ab,427,4,
53,58597.31462959992,ztfr,-25.945468286801702,55.58925781538926,27.3698589859682,ab,427,4,
54,58597.35369209992,ztfr,-38.45442905716902,53.13291152263508,27.3607742529816,ab,427,4,
55,58597.35599539988,ztfr,-31.121753752652516,26.904588039032504,26.1719118674236,ab,427,4,
56,58597.356921299826,ztfr,0.36823271256585827,21.918813849716127,26.1593493614929,ab,427,4,
57,58597.35782410018,ztfr,0.05737571803103636,45.60525728153978,27.3648789569538,ab,427,4,
58,58597.35942129977,ztfr,-96.14684146353807,49.05394681140484,27.3640373126298,ab,427,4,
59,58597.37670140015,ztfr,55.64709314717488,47.70320846426844,27.3637101608875,ab,427,4,
60,58597.41322920006,ztfr,-22.810365103437952,47.308670714019826,27.3546772352978,ab,427,4,
61,58597.43228009995,ztfr,-71.41012660237953,55.811446954211895,27.344156706791,ab,427,4,
62,58598.27437500004,ztfg,3.354017914179057,12.11681686327539,26.1443900476169,ab,427,4,
63,58598.29342589993,ztfr,15.51241331952431,28.01744807701102,27.3345916776641,ab,427,4,
64,58598.31451389985,ztfr,6.085626437432156,15.886490465066993,26.1384845242482,ab,427,4,
65,58598.31542820018,ztfr,16.707143657138612,30.67802429473713,27.333274414481,ab,427,4,
66,58598.317025499884,ztfr,45.437477458301,28.720630040217248,27.3415040671368,ab,427,4,
67,58598.33509259997,ztfr,-33.255437728858524,31.77624385469311,27.3514836531666,ab,427,4,
68,58598.33706020005,ztfr,2.7921324365858897,31.432850517584704,27.339669265905,ab,427,4,
69,58598.3741088002,ztfr,-74.29889262441982,35.982408219429566,27.356644689765,ab,427,4,
70,58599.29546299996,ztfg,25.88381723418654,22.430219822400648,27.3990162679245,ab,427,4,
71,58600.27846059995,ztfr,121.16161942556917,33.509254039600066,27.352053216542,ab,427,4,
72,58601.30512729986,ztfr,198.6975215427521,33.840954183805685,27.3734634224089,ab,427,4,
73,58601.30679399986,ztfr,73.24140406567184,19.320748101999,26.1844249037723,ab,427,4,
74,58602.251875000075,ztfr,-4.263658802168041,33.921131567005794,22.733111882536,ab,427,4,
75,58602.2726619998,ztfr,29.154328392435993,34.82740429330076,22.661787518582,ab,427,4,
76,58602.29354170011,ztfr,432.7831349269253,43.480523612748215,27.3512249051076,ab,427,4,
77,58602.29692129977,ztfr,477.30833600443503,38.51563651028928,27.353284398287,ab,427,4,
78,58602.31362270005,ztfr,445.1018291554061,47.58786227315464,27.3329857409919,ab,427,4,
79,58602.315775500145,ztfr,486.95577788255514,46.23575490738484,27.3306078649711,ab,427,4,
80,58605.37583329994,ztfr,1658.1605699032052,40.45075532480877,27.2690336844135,ab,427,4,
81,58605.41686340002,ztfr,1772.1726686992413,41.46116600960506,27.3244055879099,ab,427,4,
82,58606.251365699805,ztfr,2164.302858432565,43.35161075196364,27.3186512940979,ab,427,4,
83,58606.27337960014,ztfr,2154.079847762364,37.12262945400659,27.3303532483103,ab,427,4,
84,58606.30527780019,ztfr,2204.897507881104,41.406961935867,27.3331173034659,ab,427,4,
85,58606.30687499978,ztfr,2116.5255843505565,40.421679540879886,27.3302119833963,ab,427,4,
